tick;ClassName;InstanceName;Description;Market;BidType;PriceOffered;PriceCleared;QuantityOffered;QuantityAssigned;Capacity;MustRunViolation
0;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;-63,91;2152,75;2152,75;2152,75;
0;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;-63,91;10590;10590;10590;
1;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,3;2113,75;2113,75;2113,75;
1;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;10590;10590;10590;
2;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,97;2127;2127;2127;
2;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,97;10590;10590;10590;
3;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;22,02;2110;2110;2110;
3;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;22,02;10590;10590;10590;
4;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,58;2008,75;2008,75;2008,75;
4;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,58;10131;10131;10131;
5;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,87;1998,5;1998,5;1998,5;
5;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,87;10131;10131;10131;
6;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,87;2009,75;2009,75;2009,75;
6;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,87;10131;10131;10131;
7;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,63;2069,25;2069,25;2069,25;
7;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,63;10131;10131;10131;
8;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;2139,25;2139,25;2139,25;
8;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;9847;9847;9847;
9;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,58;2190,25;2190,25;2190,25;
9;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,58;9847;9847;9847;
10;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,58;2252,5;2252,5;2252,5;
10;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,58;9847;9847;9847;
11;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,58;2221,25;2221,25;2221,25;
11;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,58;9847;9847;9847;
12;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2247,5;2247,5;2247,5;
12;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9606;9606;9606;
13;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;2269;2269;2269;
13;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;9606;9606;9606;
14;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;2271;2271;2271;
14;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;9606;9606;9606;
15;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,3;2182;2182;2182;
15;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;9606;9606;9606;
16;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;2133;2133;2133;
16;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;9488;9488;9488;
17;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;2124,75;2124,75;2124,75;
17;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;9488;9488;9488;
18;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;2123,75;2123,75;2123,75;
18;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;9488;9488;9488;
19;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,8;2128;2128;2128;
19;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;9488;9488;9488;
20;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2116;2116;2116;
20;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9290;9290;9290;
21;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2106,5;2106,5;2106,5;
21;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9290;9290;9290;
22;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2076;2076;2076;
22;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9290;9290;9290;
23;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;20,75;2061,75;2061,75;2061,75;
23;TotalLoad;totalload;real-data-based;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;9290;9290;9290;
24;TotalLoad;renewables;real-data-based;SPOT_MARKET;ENERGY_SUPPLY;-3000;-10,21;2026,25;2026,25;2026,25;
