tick;traderType;traderName;bidType;offeredPrice;offeredQuantity;assignedQuantity
-80;FlexPowerplant2;BOXBERG N;POWER_POSITIVE;19,64;25;25;
-80;FlexPowerplant2;NEURATH E;POWER_POSITIVE;19,85;30;30;
-80;FlexPowerplant2;NEURATH D;POWER_POSITIVE;20,05;30;30;
-80;FlexPowerplant2;NEURATH C;POWER_POSITIVE;41,65;15;15;
-80;FlexPowerplant2;NEURATH A;POWER_POSITIVE;41,65;15;15;
-80;FlexPowerplant2;NEURATH B;POWER_POSITIVE;41,65;15;15;
-80;FlexPowerplant2;WEISWEILER G;POWER_POSITIVE;44,87;30;30;
-80;FlexPowerplant2;MERKENICH (NORD) 3;POWER_POSITIVE;49,33;5,67;5,67;
-80;FlexPowerplant2;NIEDERAUSSEM F;POWER_POSITIVE;71,3;16;16;
-80;FlexPowerplant2;FRIMMERSDORF Q;POWER_POSITIVE;71,3;15;15;
-80;FlexPowerplant2;NIEDERAUSSEM E;POWER_POSITIVE;71,57;15,67;15,67;
-80;FlexPowerplant2;MERKENICH (NORD) 2;POWER_POSITIVE;73,13;2,33;2,33;
-80;FlexPowerplant2;MOORBURG-A;POWER_POSITIVE;93,45;129,67;129,67;
-80;FlexPowerplant2;MOORBURG-B;POWER_POSITIVE;93,45;129,67;129,67;
-80;FlexPowerplant2;LUNEN-4 NO 1;POWER_POSITIVE;96,8;112,67;112,67;
-80;FlexPowerplant2;NOSSENER 3;POWER_POSITIVE;97,43;1,33;1,33;
-80;FlexPowerplant2;NOSSENER 2;POWER_POSITIVE;97,43;1,33;1,33;
-80;FlexPowerplant2;NOSSENER 1;POWER_POSITIVE;97,43;1,33;1,33;
-80;FlexPowerplant2;WEISWEILER E;POWER_POSITIVE;98,97;15;15;
-80;FlexPowerplant2;NIEDERAUSSEM C;POWER_POSITIVE;99,36;16,67;16,67;
-80;FlexPowerplant2;GKM 9;POWER_POSITIVE;99,55;136,67;136,67;
-80;FlexPowerplant2;WALSUM-10;POWER_POSITIVE;99,56;118,67;118,67;
-80;FlexPowerplant2;WESTFALEN-D;POWER_POSITIVE;100,04;123;123;
-80;FlexPowerplant2;WILHELMSHAVEN-C;POWER_POSITIVE;100,6;120;120;
-80;FlexPowerplant2;WESTFALEN-E;POWER_POSITIVE;100,6;123;123;
-80;FlexPowerplant2;RDK (KARLSRUHE) 8;POWER_POSITIVE;100,67;136,67;136,67;
-80;FlexPowerplant2;BREMEN-HAFEN 6;POWER_POSITIVE;100,8;49,67;49,67;
-80;FlexPowerplant2;FRIMMERSDORF P;POWER_POSITIVE;102,52;15;15;
-80;FlexPowerplant2;WEISWEILER F;POWER_POSITIVE;102,52;15;15;
-80;FlexPowerplant2;NIEDERAUSSEM D;POWER_POSITIVE;102,52;15;15;
-80;FlexPowerplant2;ALTBACH-II NO 1;POWER_POSITIVE;114,66;52,33;52,33;
-80;FlexPowerplant2;ROMERBRUCKE 3;POWER_POSITIVE;121,12;5,33;5,33;
-80;FlexPowerplant2;FRIMMERSDORF M;POWER_POSITIVE;129,32;7,67;7,67;
-80;FlexPowerplant2;FRIMMERSDORF L;POWER_POSITIVE;129,32;7,67;7,67;
-80;FlexPowerplant2;REUTER WEST B;POWER_POSITIVE;130,15;45;45;
-80;FlexPowerplant2;OBERHAVEL 2;POWER_POSITIVE;131,72;5;5;
-80;FlexPowerplant2;FRIMMERSDORF O;POWER_POSITIVE;132,99;7,67;7,67;
-80;FlexPowerplant2;FRIMMERSDORF N;POWER_POSITIVE;132,99;7,67;7,67;
-80;FlexPowerplant2;NIEDERAUSSEM B;POWER_POSITIVE;134,23;7,67;7,67;
-80;FlexPowerplant2;NIEDERAUSSEM A;POWER_POSITIVE;134,23;7,67;7,67;
-80;FlexPowerplant2;VOERDE B;POWER_POSITIVE;135,14;114;114;
-80;FlexPowerplant2;RDK (KARLSRUHE) 7;POWER_POSITIVE;135,31;82,67;82,67;
-80;FlexPowerplant2;ROMERBRUCKE 2;POWER_POSITIVE;137,44;8,33;8,33;
-80;FlexPowerplant2;VOERDE A;POWER_POSITIVE;141,07;114;114;
-80;FlexPowerplant2;REUTER WEST A;POWER_POSITIVE;147,25;45;45;
-80;FlexPowerplant2;BERGKAMEN A;POWER_POSITIVE;148,57;116,67;116,67;
-80;FlexPowerplant2;WEIHER 3;POWER_POSITIVE;154,75;106;106;
-80;FlexPowerplant2;FRIMMERSDORF F;POWER_POSITIVE;167,04;7,67;7,67;
-80;FlexPowerplant2;FRIMMERSDORF E;POWER_POSITIVE;167,04;7,67;7,67;
-80;FlexPowerplant2;WEISWEILER D;POWER_POSITIVE;167,04;7,67;7,67;
-80;FlexPowerplant2;WEST (VOERDE) 1;POWER_POSITIVE;169,42;53,33;53,33;
-80;FlexPowerplant2;WEST (VOERDE) 2;POWER_POSITIVE;169,42;53,33;53,33;
-80;FlexPowerplant2;OBERHAVEL 1;POWER_POSITIVE;170,26;5;5;
-80;FlexPowerplant2;REUTER C;POWER_POSITIVE;178,59;19,67;19,67;
-80;FlexPowerplant2;WEISWEILER C;POWER_POSITIVE;203,08;7,67;7,67;
-80;FlexPowerplant2;IRSCHING-5;POWER_POSITIVE;221,9;172;172;
